"BAAN NUMBER", "SAP NUMBER", "MATERIAL DESCRIPTION", "PURCHASE ORDER TEXT"
"530201","1203963","BURNER, 4424-3B, W/9""","TILE & AIR TUBES    W-76"
"812235","1203964","MOBIL VACTRA 2 55/1","42382A                    OIL ROOM"
"530202","1203965","REGULATOR, 243RPCB GAS","1/2"" ORIFICE 2"" 6""WIDE 3-15LBS SPRING       O2-S1"
"530214","1203966","BURNER, 4424-2-B","W76-T"
"530216","1203967","VALVE, 1122-3 BUTTERFLY","1-1/2""        O3-S3"
"530217","1203968","ORIFICE HOLDER, 8697-1-324","O3-S3"
"422124","1203969","60F-3/16"" SLEEVE","K1-S4"
"422125","1203970","60F-1/4"" SLEEVE","K1-S4"
"422126","1203971","60F-5/16"" SLEEVE","K1-S4"
"422127","1203972","60F-3/8"" SLEEVE","K1-S4"
"518605","1203973","THYRECTOR 6RS20SP10B10","K5-S2"
"418399","1203974","SPROCKET A840  4 3/16"" DODGE","TORQUE TAMER SPKT 3/16""BORE W/SIDES GROUND     J6-S4"
"421150","1203975","3/8"" X 2"" THREADED NIPPLE","NIPPLE SCH. 80       J3-S7"
"419159","1203976","50903-401-07 PIN","J4-S1"
"421163","1203977","NIPPLE 1"" X 3""  SCH. 80","80 BLACK PIPE       J2-S4"
"421165","1203978","1 1/4"" X CLOSE sch 80","NIPPLE SCH. 80       J2-S4"
"421166","1203979","NIPPLE 1 1/4"" X 3""","NIPPLE SCH. 80      J2-S4"
"419160","1203980","29005-56-404 BEARING","J4-S1"
"421169","1203981","NIPPLE 1 1/2"" X CLOSE SCH 80","NIPPLE SCH. 80       J2-S4"
"421170","1203982","NIPPLE 1 1/2"" X 6""","NIPPLE SCH. 80      J2-S4"
"419161","1203983","BRAKE SHOE LINING E010047","SHOE COMPLETE TM1035ET10-635C29 #2 CRANE (241-0052) J4-S1"
"421171","1203984","NIPPLE 2"" X CLOSE  SCH. 80","J2-S4"
"418191","1203985","L100-1"" X 1"" LOVE JOY","COUPLING        J8-S5"
"415501","1203986","AIR VIBRATOR BVS-250 TURBINE","(064200250)        H5-S4"
"415525","1203987","1 1/4"" POP OFF VALVE","PRESSURE SET 150 PSI      H5-S4"
"419163","1203988","E010072 PIVOT PIN","J4-S1"
"419164","1203989","E008027 BUSHING","MAGNETEK       J4-S1"
"419165","1203990","JAY-6912 Head & Barrell","MASTER CYLINDER  J-4 S-1"
"419166","1203991","J-10799 MASTER","CYLINDER KIT WAGNER      J4-S1"
"413458","1203992","HOSE  HYDRAULIC 1/4"" #HY4M2T","HOSE     W23-FL"
"413459","1203993","HOSE, HYDRAULIC 3/8"" #HY6M2T","HOSE  W-23"
"417386","1203994","BEARING, 1621-DC-NICE","I2-S6"
"417834","1203995","BEARING FLANGE 2-3/8"" SF38","4 BOLT       I8-S4"
"419302","1203996","HUB CITY, #CHHJ-6100-Y-29-56C","SUMITOMO   W3-B2"
"419303","1203997","JFN13C31.50 GEAR REDUCER","HANSEN POS.  W6-B1"
"419304","1203998","SPEED REDUCER, #F726-50-B5-G","BOSTON      W6-B1"
"419305","1203999","TDT525 TORQUE ARM GEAR","REDUCER (TAPERED)    W6-B2"
"309807","1204000","WIRE MARKERS #PWM-PK2","E8-S8"
"309809","1204001","WIRE MARKER #PWM-PK6","E8-S8"
"522238","1204002","2011B2671 BUSHING","M4-S7"
"538000","1204003","VALVE, 3/8"" BALL 1011TTE","RT CAST BRONZE (MUST BE ABLE TO LOCK OUT)  P8-S2"
"538001","1204004","VALVE, 1"" BALL 400WOG","(MUST BE ABLE TO LOCK OUT)      P8-S2"
"702310","1204005","PAINT MARKER YELLOW","YELLOW PAINT MARKER   Q5-S1"
"702311","1204006","PAINT,NISSEN YELLOW BALL PAINT MARKER","1/8"" POINT       G2-CAB"
"538050","1204007","VALVE, 1"" BRASS CHECK","(MUST BE ABLE TO LOCK OUT)       P8-S3"
"538051","1204008","VALVE, 1-1/2"" NPT CHECK","(MUST BE ABLE TO LOCK OUT)     P8-S3"
"538052","1204009","VALVE, 2"" WATER CHECK","(MUST BE ABLE TO LOCK OUT)      P8-S4"
"538103","1204010","VALVE, 3/4"" GATE (125 PSI)","P8-S5"
"538104","1204011","VALVE, 1"" GATE (125 PSI)","{ MUST HAVE LOCK OUT }      P8-S5"
"538105","1204012","VALVE, 1-1/4"" GATE","(125 PSI)  P8-S5"
"538053","1204013","VALVE, 4721K13 BALL CHECK","(MUST BE ABLE TO LOCK OUT)      P8-S4"
"601108","1204014","BUSHING, 1"" X 1-1/4"" X 2-1/4","WHEELER BRONZE       P7-S2"
"536430","1204015","26232-C0500 HEAD LAMP","BULB NISSAN      P9-S3"
"538004","1204016","HANDLE, VALVE, FOR 3/4"" BALL","VALVE FOR APOLLO(MUST BE ABLE TO LOCK OUT)  P5-S5"
"538005","1204017","VALVE, 1-1/2"" BALL S216","BR-R-T BRONZE(MUST BE ABLE TO LOCK OUT)       P8-S2"
"538006","1204018","HANDLE, VALVE","1/2"" BALL VALVE        P5-S5"
"538007","1204019","VALVE, 4467K32 BALL 3/4""","3 WAY DIVERTER (MUST BE ABLE TO LOCK OUT)     P8-S3"
"418550","1204020","BELT, HTD 2310-14MGT55","POWERGRIP     180--ON FENCE"
"418551","1204021","HTD BELT 2590-1","4M-55 SURE-GRIP     174--ON FENCE"
"417649","1204022","BEARING, PILLOW BLOCK, 2-15/16""","MP 47         I5-S4"
"520119","1204023","1 1/4""DIA.X 6FT. LONG PC","ELECTROMAGNETIC IRON ROD (FOR E3 INDUCTOTHERM) W7-STANDING"
"417650","1204024","BEARING,PILLOW BLOCK, 3"" MP 48","{SEALMASTER} BLOCK BEARING       I5-S4"
"417615","1204025","BEARING, PILLOW BLOCK, 2-11/16""","SCM      I7-S1"
"417616","1204026","BEARING, PILLOW BLOCK, 3/4""","SCM          I6-S1"
"417617","1204027","BEARING, PILLOW BLOCK, 1"" SC","#P2BSC100 (123806)          I6-S2"
"517106","1204028","SAF-T-BAR 150 AMP SHOE 150S","COLLECTOR ASSY.      B1-S5"
"417620","1204029","BEARING, PILLOW BLOCK, 1-11/16""","NEPB, 2 BOLT      I6-S4"
"417621","1204030","BEARING, 3-15/16""","TYPE K, 4-BOLT     J8-FL"
"519164","1204031","3/4"" X 2 1/2"" X 60""","GLASTIC GPO-3            W-82"
"417811","1204032","BEARING, FLANGE,1"" RCJT 2 BOLT","I8-S7"
"417812","1204033","BEARING, FLANGE, RCJT 1-1/4""","FB250 1-1/4""   2-BOLT FLANGE              I8-S8"
"417814","1204034","BEARING, FLANGE, 1"" RCJ","4 BOLT        I7-S7"
"519176","1204035","FUSE, 9F60AAB002 2 AMP SIZE A","K5-S6"
"417816","1204036","BEARING, FLANGE, 1-7/16""","UCF207-23 4 BOLT      I8-S3"
"417817","1204037","BEARING, FLANGE, 1-15/16"" RCJ","4 BOLT     I8-S1"
"417818","1204038","BEARING, FLANGE, UCFL215-48 3","2 BOLT (AMI)     06-S4"
"518104","1204039","VEHICAL BUMPER #21685T13","K4-S3"
"415535","1204040","M1182 DIAPHRAGM KIT","FOR 4055 GOYEN AIR VALVE I-1 ***K4000-RCA40 NYLON SEAT***"
"418555","1204041","BELT, CX173","39&40--ON FENCE"
"518106","1204042","250 AMP BUSS BAR FOR CRANE","DESHAZO  CA300HHX10                  DOCK"
"519716","1204043","STEELCRAFT BAG P/N","DB-STL26-10-728 4.5"" X 124-3/4"" L SNAPIN DESIGN DISC BTTM W/2"" WS 16OZ"
"418557","1204044","BELT, SPB3550","8&9--ON FENCE"
"418613","1204045","BELT, 5VX1400 COGGED V-BELT","SUPER   5&6--ON FENCE"
"418620","1204046","BELT, 7M1180","3 BELTS TO A SET        162--ON FENCE"
"419346","1204047","RELIANCE GEAR","REDUCER-30:1 RATIO      W6-B1"
"419408","1204048","#70 TORQUE-TAMER NUT","NUT: DODGE       J4-S7"
"702528","1204049","BAG, CLOTH MAILING #29-22","P3-S1"
"521378","1204050","LIMIT SCREW 0169999","K9-S8"
"521380","1204051","PIN 01752","K9-S8"
"521381","1204052","LIMIT SCREW 01791-99","MOUNTING PLATE        K9-S9"
"521382","1204053","LEAD SHIM 01363","TYPE KDE 2900       K9-S8"
"521383","1204054","SPACER RING (05324)","K9-S9"
"521384","1204055","0-7343 RUBBER RING","K9-END"
"521385","1204056","LIMIT SCREW 08812","K9-S8"
"521387","1204057","GREASE RETAINING 86X110X13","RING (008-859)  K9-S9"
"523146","1204058","PUMP, CENTRIFUGAL SERIES 1531","PUMP BELL& GOSSETT 182JM 3HP 1750RPM  *MUST INCLUDE SEAL*(L-4 S-4)"
"523147","1204059","SENSOR, PULSE K-10-04-002-P","L4-S2"
"521641","1204060","O RINGS (UM-1164)","L9-S4"
"523925","1204061","LINKS, L-580005 L.H.","ROTOBLAST      M10-S2"
"523928","1204062","LINER, LOWER FRONT 80608","L.H. ROTOBLAST       M10-FL"
"532135","1204063","BURNER, TEMPEST 4442-4-S","FOR: #4 FURNACE   W-76"
"523932","1204064","BUSHING, BRONZE 295-455-041","M10-S3"
"523933","1204065","CONTROL CAGE ADAPTER, #153175","CAGE ADAPTER       M10-S3"
"523934","1204066","CLAMPING LUG, 452160","N10-S4"
"527103","1204067","SHAFT, DRIVE DWG#54125-2 REV 2","5.9375""X 51""LONG         X-1"
"702509","1204068","8""400GRIT","30-5108-400-100    R4-S3"
"521619","1204069","12"" DOME U7201B-4","L5-FL"
"521620","1204070","U2792B-2 10"" DOME VALVE SEAL","DOME VALVE SEAL 10"" L9-S4"
"609119","1204071","BRAKE LINE B320","BFX 3/16"" X 20""       P5-S2"
"609133","1204072","HOSE, 1/2"" X 10& BRAIDED","HOSE 1/2"" NPT MALE    Q-END"
"816847","1204073","HEAD BAND 060-38-05R01","R6-S1"
"523503","1204074","THERMOCOUPLE WELL, 16207-W6","SPROCKET MODEL 1534-2R  L1-S5"
"812223","1204075","MOLUB-ALLOY #777-2 5 GALLON","PAIL (37 LBS)         OIL STORAGE"
"812224","1204076","CASTROL MOLUB ALLOY 969/320","415/1  45540      OIL ROOM      AE20"
"812225","1204077","MINERAL OIL SEAL 7523-(EDM)","OIL ROOM"
"812226","1204078","SHELL ROTELLA T 50W 5/1","41076      OIL ROOM"
"3294103","1204079","44Z14.3-P7-G-B-FC","REINFORCED ROCK (R11300)    W27-FL"
"416162","1204080","ROLLERS, IDLER, TROUGHING","35 DEGREE TROUGH      W25"
"609157","1204081","HOSE, 3"" X 65"" SS BRAIDED","W/3"" MALE PIPE   Q-END"
"609143","1204082","HOSE, 5/8"" X 7/8"" CLEAR VINYL","TUBING PART# T-00014      150--ON FENCE"
"702341","1204083","2X4 MANILA TAG W/WIRE","P3-S2"
"702342","1204084","PAINT NAPA FT220G LAQ. THINNER","OIL ROOM CABINET"
"532110","1204085","BURNER BLOCK 4-6220-1","W/10""X10""BASE 8""D.       W-77"
"532111","1204086","IGNITER PLUG 1C 9-2","O4-S4"
"532112","1204087","CIRCUIT BOARD 74912692","FOR MK-4 KROM SCHRODER        O4-S5"
"532114","1204088","SHAFT SLEEVE 63014-SS","7500H SERIES 52       O4-S5"
"532115","1204089","REGULATOR 7218-3","O2-S2"
"532116","1204090","REGULATOR 3/16"" 7345-01","ORIFICE 2-50PSI        O2-S3"
"532118","1204091","CARD, PFS630-10/2","O4-S5"
"538908","1204092","KEYSTONE, 6""","FIG. 100 STEM KIT       P8-S9"
"538909","1204093","WRENCH ARM,137-250-080-487-359","WRENCH ARM       P7-S1"
"538910","1204094","RUBBER SEAL","RUBBER SEAL 6""       P7-S1"
"609200","1204095","BRASS SHIM CODE S-5","GR..005-100""LONG      P6-S7"
"609201","1204096","BRASS SHIM 100""","LONG X 6"" WIDE      P6-S7"
"609202","1204097","BRASS SHIM CODE","S-20.020 100"" LG. 6"" W     P6-S9"
"609203","1204098","BRASS SHIM GR. .015","100"" LONG 6"" WIDE       P6-S7"
"523203","1204099","HYTROL BEARINGS 13112","CONVEYOR ROLLER  HEAVY DUTY ONLY! L4-S5"
"523204","1204100","CONVEYOR, Z45000 37"" B/F","ROLLER 36""L.X31/2""DIA.       W-77"
"416114","1204101","3/8""X22""X33&L CONV. BELT","3/16""X1/16""COVER 2PLY     92 FLOOR"
"416119","1204102","3/8""X36""X100&L CON.","BELT 3/16""X1/16""COV       W92-FL"
"421708","1204103","ELBOW 3"" 90 DEGREE","WELD TYPE SCH. 40     J1-S1"
"421709","1204104","ELBOW 4"" 90 DEGREE","WELD TYPE SCH. 40  J1-S1"
"517130","1204105","LEVEL PROBE CLS2-W11Rk1-012","(REPLACED TETSRLP5)       K2-S5"
"517131","1204106","TETSBBD6-2 FEED MONITOR","FOR ENVIROBLEND         K2-S5"
"517138","1204107","TEFLON LINER TETSTFLR-1.25","K2-S7"
"417611","1204108","BEARING, PILLOW BLOCK, 3-7/16""","FSAF 520 X 3-7/16"", WITH 417246 <(>&<)> 417103     W83-FL"
"408035","1204109","CONTACT TIP EL16-35","F5-S7"
"302518","1204110","CARD, OP-620 TERMINAL","OPTI-MATE                       T1-S1"
"302080","1204111","LIMIT FURNAS ROTARY  54BB23FC","RATIO 72:1 TWO SINGLE POLE DOUBLE THROWING     B2-S3"
"418116","1204112","FB8020 RSB HUB FOR CHAIN","COUPLING 099163      J9-S2"
"522438","1204113","BUSHING, 20MM DISA PATTERN","M3-S3"
"416420","1204114","BUSHING 1-1/8","H1-S3"
"420200","1204115","DRIVE WHEEL HC5-309RRA 6 X 2","J3-S2"
"536440","1204116","25650-L9060 BACK UP BUZZER ASS","BACK ALARM        P9-S2"
"415456","1204117","SUPPLY PREFILTER ELEMENT","PART#88343173 (FOR 20-033)     H6-S7"
"522587","1204118","TRANSDUCER, TA6000-406","USED FOR LIQUIMETRIC PRESSURE & AMC DRIVE PRESSURE M3-S5"
"416461","1204119","BUSHING, TAPERLOCK, 9105F0072","P40-8M-85-SD      H1-S3"
"521416","1204120","REDUCER 207-1531","RED 10:1 1.75CD SM 56C 25MMB C (REPLACES 207-0873) W6-B1"
"415530","1204121","REPAIR KIT 03340-0105  3/8""","H5-S5"
"302107","1204122","BULB 440A-A09055","B3-S5"
"521299","1204123","SEAL 3/8 TK X 3.5 WIDE SKIRT","30 FT LONG  INNER LIP SEAL       L10-S3&S4"
"302531","1204124","CARD, PROX SWITCH VK1-A0-2H","B3-S3"
"302532","1204125","CABLE CD12M-0B-050-C1","B3-S7"
"302533","1204126","CARD, PS24-050D POWER SUPPLY","LOCATION         T1-S1"
"309629","1204127","PULSE START BALLAST","UNVP400ML5AC4M500K PATTERN SHOP      E7-S9"
"308101","1204128","WIRE, CHEM GARD 42404","E3-S4"
"812247","1204129","METHYLENE BLUE 535A (MB101)","MB101"
"530237","1204130","BURNER, 4841-4","FOR #1 & #3 QUENCH FURNACE       W76"
"415483","1204131","250024-435  FILTER PREFILTER","H6-S3"
"415484","1204132","250024-427  FILTER POST FILTER","H6-S6"
"417464","1204133","BEARING, 23220-2CS, FOR:03-003","NEEDS TO BE DOUBLE SEALED      I3-S3"
"518149","1204134","12SF2165 SCREW CONV HGR","FOR STYLW 216  (20-022)     K4-S8"
"518150","1204135","HANGER 12CH2265","STYLE 226 (20-022)      K4-S6"
"302099","1204136","LIFELINE ROPE 440EA13079(A-B)","LIFELINE ROPE 440EA13079 SYSTEM (ALLEN-BRADLEY)  B3-S8"
"417193","1204137","NJ-2314-ECP/C3 BEARING","I2-S4"
"523168","1204138","DUST BAG, SLY DBSLY21-07-567","5-3/4"" X 120"" L SNAP IN DESIGNTO FIT 6.25"" HOLEDISC BOTTOM 16OZ. PLAIN"
"530143","1204139","OUTER GUIDE FOR TRAY CARRIAGE","WHEELS        O1-S4"
"804101","1204140","PPM OIL ANALYSIS BOTTLE","Q2-S1"
"202546","1204141","HEAT SHIELD 306-00014  12""","B7-S6"
"532139","1204142","TOUCH PANEL SCREEN  (EA9-T10C)","10"" COLOR TFT        T7-S2"
"419294","1204143","TXT625 DODGE REDUCER","FOR FEED BELT OVER DISA    W1-B3"
"520133","1204144","SEAL KIT #186862","FOR:BELL & GOSSETT 1531 PUMP MODEL 1.25 AC 6.0 BF  K6-S3"
"414345","1204145","ROD * Cl3-2-1/2x17-F-AA-1-3/8","W/1""-14 THREAD VITON SEALS 1-12-3/8 NOPAK     W7-B2"
"416181","1204146","INSPECTION BELT,  23&8"" x 28""","ENDLESS 3 PLY 330  3/16 X 1/16 COVER      W92-FL"
"302536","1204147","CARD, IC693CHS398 5-SLOT","EXPANSION BASE       T9-S1"
"418445","1204148","SPROCKET 104726, 60BTL31, 2012","FOR SORTING BELT       J5-S3"
"416465","1204149","BUSHING, E 1-7/8"" QD","TAPERLOCK, WOODS        H1-S6"
"202545","1204150","CONNECTOR-T313 305-00024","COMOPENSATED B7-S8"
"302082","1204151","LEVER ARM SQ-D    # 9007R17","B1-S4"
"306193","1204152","MOTOR, 3/4HP, 1800RPM, BRAKE","TEFC/BRAKE 208-230/460, 56C, #VBM3542    W3-B3"
"302097","1204153","MODULE, LOGIC  #CH8250B-6501","50 SERIES, LT/DK SWITCH        B3-S7"
"302106","1204154","INDICATOR LIGHT 440A-A19002","B3-S5"
"518153","1204155","CHB2165W HANGER BRG","STYLE 226 WOODEN BRG 2-7/16 (20-022)      K4-S6"
"201213","1204156","UV DETECTOR UVS8T  84315205","{REPLACES P/N: 84333120}   B7-S9"
"201214","1204157","FLAME SAFTY IFD 258-T-5/2Q","P/N:84621440    B6-S1"
"527178","1204158","SENSOR, IR, ILA10 IN-LINE","(DWYER)         N2-S4"
"416113","1204159","1/2""X20""X60&L","W/4"" SIDEWALLS/4""TY S CL     W-94"
"413744","1204160","852201-1500 MARVEL FILTER HSG.","852201-1500 LESS ELEMENT    G8-S5"
"302083","1204161","LEVER ARM SQ-D 9007R20","B1-S4"
"523166","1204162","TRANSDUCER, PRESSURE #31685K8","RANGE 0-2000 (4-20MA)          L4-S3"
"520174","1204163","WEDGES FOR LIQUIMETRIC","K8-S6"
"418201","1204164","DODGE HOUSINGS HS4SFXT515","STOCK #042109      J8-S9"
"302085","1204165","BANNER MINI BEA SM2A312LVQD","B3-S5"
"302702","1204166","STARTER SZ.1 FUR22DSF32AF","C3-S9"
"302723","1204167","CONTACT KIT KFUR75DF14","C3-S3"
"417465","1204168","CAM FOLLOWER, 2"" CF","I1-S5"
"302530","1204169","CARD, OP-1224-24","BUTTON TOUCHPAD     T2-S2"
"416176","1204170","3/8""x36""x25&  BELT","WEIGH HOPPER COMES IN ONE HUNDRED FT LENGTHS 25' PER SEC."
"306194","1204171","MOTOR, 1.5HP  1725RPM 143TCZ","143TCZ FRAME 230/460 VOLT (5/8"" SPECIAL SHAFT)    W3-B3"
"415480","1204172","577366-7120 MARVEL FILTER","FOR #3 ARC TILT CYL.  G8-S2"
"413811","1204173","16405-FM000  FUEL FILTER","W2-B3"
"413813","1204174","15208-FM000  OIL FILTER","W2-B3"
"527183","1204175","LOCKNUT, SAE, 90619A430","3/4""        N2-S4"
"413821","1204176","NAPA B7144 FILTER","G8-S6"
"302934","1204177","AUX CONTACT A-B 595AB  1NO-1NC","C3-S7"
"302108","1204178","MICRO PLUGIN L-SW","LSZ4006 DPDT  BASE FOR LSZ7D6B     B2-S2"
"413848","1204179","38483822  OIL FILTER","G8-S3"
"415486","1204180","38493482  AIR OIL SEPERATOR","W-34"
"521658","1204181","UM1823 SELF-LUBRICATING","BEARING       L8-S3"
"521659","1204182","SHAFT SEALS-MOLYTHANE UM1749","L8-S3"
"302537","1204183","CARD, IC693CHS392J 10-SLOT","EXPANSION BASE       T9-S1"
"417194","1204184","BEARING NJ-2314-ETVPC4","I2-S4"
"521939","1204185","AIR CYLINDER 51.036.1.1","3/4""B X 1""S         L9-S2"
"302086","1204186","BANNER MQDC-315 RA P/N:26847","B3-S5"
"522443","1204187","2040R3731 SERVO VALVE HY10B","OR 11B 60HZ      M6-S9"
"527180","1204188","ACTUATOR, ML7984A 4009","D. COUPLED VALVE       N2-S3"
"306198","1204189","MOTOR ASSY.HARRINGTON","G1CM025L  MACHINE 19-063   L4-FL"
"527185","1204190","TRANSMITTER, 657C-1","HUMIDITY/TEMPERATURE           N2-S4"
"519192","1204191","26-10421 P FILT-ELEM","E200-500-RA      K6-S8"
"530144","1204192","CASTER, STR063  6 X 3","O1-S5"
"521660","1204193","UM1959 V-RING SEAL-NITRILE","L8-S6"
"521661","1204194","SEAL RETAINER B24525-00","L8-S6"
"521662","1204195","0  RING LARGE-VITON U9566E-0","L8-S6"
"521663","1204196","U9565E-0 ""0"" RING SMALL-VITON","L8-S4"
"521664","1204197","PROXIMITY SWITH UE1560","L8-S4"
"519193","1204198","51025K136 1/4 OD TUBE TO 1/8""","NPT SWIVEL 90 DEG. ELBOW BRASS       K6-S7"
"519194","1204199","51025K137 1/4 OD TUBE TO 1/4""","NPT 90 DEG. SWIVEL ELBOW BRASS      K6-S7"
"309810","1204200","CORD GRIP CG408 P&S","1/2"" THREADS     E8-S4"
"309811","1204201","WIRE MARKERS #PWM-PK7","E8-S8"
"401759","1204202","DRILL ROD 1"" X 3 FT. OILCRAT","U6"
"302695","1204203","HOIST 8965-S0-1","CONTACTOR 3POLE 120VCOIL       C3-S7"
"303123","1204204","CIRCUIT FAL36070","BREAKER (70 AMP L & L)      C6-S3"
"303124","1204205","CIRCUIT BREAKER FAL-36100-18M","LINE & LOAD                              C6-S5"
"522208","1204206","2040B1960 TOP","CHAMBER PLATE W-81"
"523987","1204207","SEAL STRIP, 426856","N9-S5"
"522209","1204208","2040B2100 RIGHT","CHAMBER PLATE W-81"
"538106","1204209","VALVE, 1-1/2"" GATE","NON-RISING STEM 125LB      P8-S6"
"538107","1204210","VALVE, 2"" GATE","125PSI T-113-125     P8-S6"
"522210","1204211","9105F0151 SCRAPER RING","M7-S3"
"522211","1204212","2040A3471 PATTERN BUSHING","DISA PATTERN BUSHING  M7-S8"
"814313","1204213","BANDING, STRP TENSION MRP-1300","Q3-S2"
"814316","1204214","BANDING CLAMP C6F1050 SEALER","Q3-S3"
"522380","1204215","9130H0011 TWIN PUMP","M8-FL"
"522381","1204216","9107L6006 COVER","M8-S6"
"522261","1204217","CONTACTOR ALLEN-BRADLEY","100-C12D10 SER. A 3 POLE N.O. 110V50/120V60HZ  M8-S4"
"522273","1204218","10083177 ""O"" RING","REPLACES P/T# 9105F0505    M7-S1"
"522274","1204219","10083326 ""O"" RING","REPLACES P/T# 9105F0897      M7-S1"
"522275","1204220","9108K40002 TRANSPORT ROLLER","TRANSPORT ROLLER   M8-S5"
"522276","1204221","9130X6002 ACCUMLATOR","M8-S2"
"522277","1204222","2040H1100 HYDRAULIC VALVE","VALVE HYD. 42   M6-S4"
"522278","1204223","2013F1071 SHAFT","M4-S4"
"814603","1204224","COLLECTOR SHOES  C40B3","B1-S5"
"522514","1204225","9103H1036 SCREW","M7-S6"
"521321","1204226","HYDRAULIC PUMP MOTOR WOLFER","5.5 HP,480V,1760 RPM,TYPE D112M-4, NO.139456   W5-B2"
"522515","1204227","2023C6681 ROD","M5-STANDING"
"521367","1204228","009790 SQ. HEAD BOLT","BOLT M16X90-8.8      K9-S5"
"521368","1204229","CYLINDER, HYDRAULIC, #009791","ZN 50/100       K9-S6"
"522516","1204230","2023R1361 REPAIR KIT","M5-S9"
"526611","1204231","CARBON PLATE, HLM","9"" X 12"" X 1""       O2-S3"
"526613","1204232","METER, 1-1/2"" NIAGARA WATER","METER TYPE 3 W/R15       N3-S2"
"522544","1204233","2042A0281 SCREEN","M6-S1"
"522545","1204234","2042A2591 FITTING","M8-S10"
"521342","1204235","ROD END (005-765)","K9-S4"
"531118","1204236","BURNER W/TILE","BURNER W/TILE 6843-4-25/X3603          W77"
"521343","1204237","SOCKET SET SCREW","AM10X15 (00591)      K9-S4"
"527141","1204238","SEAL, 60 X 85 X 8 A-NBR","OIL SEAL            N2-S1"
"527149","1204239","WASHER, STUD, 685-055","N3-S5"
"521388","1204240","ELBOW MALE SCREW","CONNECTOR (008-931)       K9-S5"
"521389","1204241","TWIN NIPPLE (00941)","K9-S9"
"533201","1204242","PROPELLER, 8004K651 MIXING","5""D, X 5""PITCH, 3/4 BORE       O5-S4"
"531602","1204243","ACANCHOR-QF12HA  (QF 1-2)","FOR QUENCH FURNACE DWG# MC-Q560-B-17-C     OUTSIDE"
"522552","1204244","2023C5832 ROLLER HOUSING","M5-S1"
"522553","1204245","2023C5791 BUSHING","M5-S2"
"531604","1204246","RAILS #3","ACRAIL-QF3 FOR QUENCH FURNACE"
"522554","1204247","2023C2442 ADJUSTMENT SCREW","ADJUSTMENT SCREW       M5-S5"
"532100","1204248","CARTRIDGE CBEA-LAV-BCD","REPLACEMENT CARTRIDGE       O4-S4"
"522556","1204249","2023C5741 PIN","M5-S2"
"532101","1204250","CHECK VALVE TCV-750","O4-S4"
"532102","1204251","REGULATOR, GAS GIB15NO2","KROM SCHRODER 03155177        O4-S4"
"521331","1204252","HEX HEAD CAP SCREW","M12X35 (0-0365)       K9-S3"
"532103","1204253","ATTACHMENT KIT FOR (00532140)","7492222  04-S2"
"521332","1204254","LIMIT SWITCH (0031-77)","K9-S3"
"309428","1204255","TOGGLE MCGO1210001","SWITCH DPST 15A       E7-S5"
"309429","1204256","RECEPTACLE #5251","E7-S4"
"401363","1204257","USS HX.HD.BRASS BOLT 3/8X3""","E9-S10"
"309209","1204258","BLANK COVER #2540","FOR HANDY BOX    E6-S5"
"401364","1204259","F.H.BR.USS BOLT 3/8X3 1/2""","E9-S4"
"401365","1204260","USS BR.HXHD BOLT 1/2X1 1/4""","E9-S9"
"401366","1204261","USSBR HXHD BOLT 1/2X1 1/2""","E9-S8"
"306109","1204262","MOTOR, 2.5HP, 1800RPM","213 FRAME H-60MIN C-FACE, #96-5249B     W1-B1"
"309210","1204263","RECEPTACLE COVER DUPLEX #2510","E6-S5"
"309211","1204264","TOGGLE SWITCH COVER #2594","E6-S4"
"309212","1204265","SQUARE BOX COVERS 4""","(FLAT BLANK)      E6-S7"
"306110","1204266","MOTOR, 15HP 3520RPM 254T FRAME","-230/460 VOLTS (CRITICAL)    W2-B2"
"306123","1204267","MOTOR, 40HP-1725RPM-230/460","VOLTS-324 T FRAME     W2-B1"
"306125","1204268","MOTOR, 2 HP-1200/61 RPM","-460/120 V. WES 215 FRA.   W3-B1"
"309244","1204269","CONDUIT NIPPLE 1 1/4""X 3""","E6-S2"
"309245","1204270","CONDUIT NIPPLE 1 1/4""X 4""","E6-S2"
"309246","1204271","CONDUIT NIPPLE 1 1/4""X 5""","E6-S2"
"309247","1204272","CONDUIT NIPPLE 1 1/4""X 6""","E6-S2"
"306126","1204273","MOTOR, 1HP, 1800RPM, #M3546","220/440 VOLTS WELDED BASE (BALDOR), TEFC 56   W3-B1"
"404831","1204274","1"" USS LEFT HAND JAM NUT","F7-S4"
"306127","1204275","MOTOR, 2HP-3460RPM-145T","FRAME-230/460 VOLTS      W3-B1"
"306750","1204276","VARISTOR V480PA80A","C8-S1"
"306752","1204277","POTENTIOMETER (62 JA) 5K","D5-S3"
"309001","1204278","CORD GRIPS -90 DEG. 1""","SEALTIGHT       E5-S11"
"309002","1204279","CORD GRIP-90 DEG. SEAL 1 1/4""","TIGHT       E5-S11"
"309003","1204280","CONDUIT GRIPS MALE STRAIGHT 1""","SEALTIGHT        E5-S10"
"309004","1204281","CONDUIT GRIP MALE ST. 1 1/4""","SEALTIGHT  E5-S10"
"306407","1204282","BRUSH ROTOR ASSY.","(FOR FORM #5909N)     D6-S5"
"309316","1204283","PANEL 12"" X 10""","FOR JIC BOX      E6-S12"
"309317","1204284","PANEL 12"" X 12""","FOR JIC BOX      E6-S12"
"309318","1204285","PANEL 16"" X 14""","FOR JIC BOX      E6-S12"
